Character;Top Left Mass;Top Right Mass;Bottom Left Mass;Bottom Right Mass;Normalized Top Left Mass;Normalized Top Right Mass;Normalized Bottom Left Mass;Normalized Bottom Right Mass;Center of Gravity X;Center of Gravity Y;Normalized COG X;Normalized COG Y;Horizontal Moment of Inertia;Vertical Moment of Inertia;Normalized Horizontal Moment of Inertia;Normalized Vertical Moment of Inertia
а;179;341;297;279;0.2762345679012346;0.5262345679012346;0.4583333333333333;0.4305555555555556;26.125;27.686131386861312;0.5331632653061225;0.512706136793728;271908.0291970803;208427.875;248.0912675155842;190.17141879562044
б;340;298;352;300;0.34034034034034033;0.2982982982982983;0.35235235235235235;0.3003003003003003;24.73488372093023;37.78139534883721;0.44972515856236783;0.5105593966059082;576266.353488372;291381.33023255813;446.7181034793582;225.87700018027763
в;256;303;265;260;0.4280936454849498;0.5066889632107023;0.4431438127090301;0.43478260869565216;23.182656826568266;25.868081180811807;0.49324801758655884;0.48807700341154353;236552.1356088561;180841.83394833948;218.2215273144429;166.82826009994417
г;118;287;293;148;0.19732441471571907;0.479933110367893;0.4899665551839465;0.24749163879598662;22.95744680851064;26.53191489361702;0.4990749306197965;0.5006021678040947;221318.63829787233;121850.46808510637;261.60595543483726;144.031286152608
д;171;430;332;282;0.18486486486486486;0.4648648648648649;0.3589189189189189;0.30486486486486486;27.706172839506173;38.18518518518518;0.5432582909707093;0.516016016016016;528391.3333333333;277914.10370370373;434.88998628257883;228.73588782197837
е;289;325;284;193;0.44598765432098764;0.5015432098765432;0.4382716049382716;0.2978395061728395;22.707607699358388;26.01833180568286;0.46342056529302833;0.48182095936449737;234039.63336388633;204273.7268560953;214.51845404572532;187.23531334197554
ё;211;287;412;327;0.25857843137254904;0.35171568627450983;0.5049019607843137;0.4007352941176471;23.68633791430881;35.767178658043655;0.4833946513124247;0.5259879214418185;402052.94745351654;225778.29911075183;325.0225929292777;182.52085619300877
ж;239;390;396;251;0.2357001972386588;0.38461538461538464;0.3905325443786982;0.24753451676528598;38.63949843260188;25.641849529780565;0.49537818503335745;0.49311249095731857;282405.32523510966;379670.1692789969;221.32078780181007;297.54715460736435
з;96;291;157;253;0.16161616161616163;0.4898989898989899;0.26430976430976433;0.42592592592592593;26.55457967377666;27.026348808030114;0.5901017705283702;0.5004879408894466;224114.4466750314;90852.87578419072;281.1975491531134;113.99357062006364
и;200;201;275;241;0.3076923076923077;0.30923076923076925;0.4230769230769231;0.3707692307692308;23.229007633587788;27.95637949836423;0.46458015267175573;0.5274788584597024;219788.25517993455;219955.9083969466;239.6818486149777;239.8646765506506
й;182;249;345;311;0.20222222222222222;0.27666666666666667;0.38333333333333336;0.34555555555555556;24.309107635694573;40.55197792088317;0.4861821527138915;0.5632219155678218;461902.81324747007;236962.1398344066;424.9335908440387;217.9964487897025
к;239;197;228;182;0.38301282051282054;0.3157051282051282;0.36538461538461536;0.2916666666666667;20.72695035460993;25.102836879432623;0.42299898682877407;0.482746863066012;186156.05319148937;119641.9255319149;220.04261606559027;141.42071575876466
л;208;344;238;199;0.27586206896551724;0.4562334217506631;0.3156498673740053;0.2639257294429708;32.912032355915066;22.848331648129424;0.5578310568799164;0.4311005971345174;272787.2497472194;241963.3468149646;275.821283869787;244.65454683009565
м;355;357;397;303;0.41375291375291373;0.4160839160839161;0.4627039627039627;0.3531468531468531;32.68909348441926;25.298158640226628;0.4878969176778994;0.486503050773589;305945.4752124646;512550.51203966007;216.67526573120722;362.99611334253547
н;245;250;236;235;0.3624260355029586;0.3698224852071006;0.34911242603550297;0.34763313609467456;25.824016563146998;25.424430641821946;0.48724559553107544;0.4889313584965759;179323.98343685298;232140.082815735;185.63559361993063;240.3106447367857
о;221;253;253;231;0.3274074074074074;0.3748148148148148;0.3748148148148148;0.3422222222222222;24.897703549060545;26.600208768267223;0.4979540709812109;0.4925964586716152;245299.87995824634;222083.97494780796;256.05415444493354;231.8204331396743
п;248;321;197;198;0.3668639053254438;0.47485207100591714;0.29142011834319526;0.29289940828402367;26.731327800829874;21.433609958506224;0.5043646754873561;0.41218480689435044;251476.75103734434;234971.41390041495;260.86799900139454;243.74627997968355
р;299;354;371;167;0.30761316872427985;0.36419753086419754;0.3816872427983539;0.17181069958847736;25.96893366918556;31.3727959697733;0.4721624303488284;0.4297643283530589;450132.4785894207;307171.85054575984;377.94498622117607;257.9108736740217
с;210;186;247;152;0.33816425120772947;0.2995169082125604;0.3977455716586151;0.24476650563607086;19.972327044025157;26.445283018867926;0.4249431285962799;0.489727463312369;227788.36981132074;136275.39119496854;286.52625133499464;171.41558640876545
т;330;471;342;285;0.3254437869822485;0.46449704142011833;0.33727810650887574;0.28106508875739644;39.96638655462185;23.481792717086833;0.5059036272736943;0.44305269277522324;347168.52661064424;808034.3865546219;243.11521471333631;565.8504107525363
у;261;279;366;45;0.25892857142857145;0.2767857142857143;0.3630952380952381;0.044642857142857144;24.042060988433228;32.72450052576236;0.4217905436567233;0.4482808291200323;406885.8191377497;150944.31756046266;427.8504933099366;158.72167987430353
ф;340;633;619;368;0.189520624303233;0.3528428093645485;0.3450390189520624;0.20512820512820512;39.02704081632653;45.81938775510204;0.4940131748902093;0.4980368234250222;843120.0632653062;869673.5668367348;430.1632975843399;443.71100348812996
х;180;229;224;212;0.2564102564102564;0.3262108262108262;0.3190883190883191;0.301994301994302;27.584615384615386;25.80355029585799;0.5015384615384616;0.49622212107419206;205717.3893491124;103521.20000000001;243.4525317740975;122.51029585798818
ц;249;259;217;321;0.3018181818181818;0.31393939393939396;0.263030303030303;0.3890909090909091;25.873804971319313;31.498087954110897;0.5174760994263863;0.47012071573299846;315265.4961759082;265635.3422562141;301.4010479693195;253.95348208051064
ч;201;201;113;244;0.33612040133779264;0.33612040133779264;0.18896321070234115;0.4080267558528428;23.425559947299078;22.85375494071146;0.5092513032021538;0.4394952873213743;131160.76679841898;138903.5441370224;172.80733438526875;183.0086220514129
ш;243;348;463;358;0.23964497041420119;0.3431952662721893;0.45660749506903353;0.3530571992110454;37.9171388101983;28.68201133144476;0.4799637824075734;0.5411700251215992;344108.2230878187;779395.3052407932;243.7027075692767;551.979677932573
щ;335;420;371;438;0.2602952602952603;0.32634032634032634;0.28826728826728826;0.34032634032634035;41.18222506393862;31.175191815856778;0.5212939881511217;0.46530137038592206;443145.99744245526;936419.0658567775;283.34143058980516;598.7334180669933
ъ;342;109;276;293;0.48717948717948717;0.15527065527065528;0.39316239316239315;0.41737891737891736;26.0921568627451;28.238235294117647;0.4831880900508352;0.5430429864253393;254529.1088235294;178489.33725490194;249.53834198385235;174.98954632833522
ы;316;224;402;363;0.33760683760683763;0.23931623931623933;0.42948717948717946;0.38782051282051283;32.96015325670498;29.53103448275862;0.4577799063431247;0.5679045092838196;271236.9931034483;600609.9279693486;207.8444391597305;460.2374926968189
ь;249;89;304;259;0.41638795986622074;0.1488294314381271;0.5083612040133779;0.4331103678929766;20.497225305216425;31.34850166481687;0.43611117670673244;0.6028558012464782;170798.57047724747;142319.243063263;189.5655610180327;157.95698453192344
э;138;303;166;256;0.2222222222222222;0.48792270531400966;0.2673107890499195;0.41223832528180354;26.764774044032446;26.45654692931634;0.5818429140007053;0.48993605424659886;226206.12050984937;121893.24913093858;262.11601449576983;141.24362587594274
ю;347;355;417;293;0.3671957671957672;0.37566137566137564;0.44126984126984126;0.3100529100529101;34.82577903682719;26.474504249291783;0.49050393009615767;0.4902685972091071;322648.0821529745;612543.1416430594;228.50430747377797;433.8124232599571
я;235;373;230;256;0.3228021978021978;0.5123626373626373;0.3159340659340659;0.3516483516483517;31.348263254113345;23.056672760511884;0.5499695307739183;0.443397553086767;248676.48628884827;214264.31170018285;227.30940245781377;195.85403263270828
